cmun,dist,secc,poblacio,codi_edar
8019,2,76,1569,DBSS
8019,2,77,1660,DBSS
8019,2,78,1318,DBSS
8019,2,79,1364,DBSS
8019,2,80,1545,DBSS
8019,2,81,2081,DBSS
8019,2,82,879,DBSS
8019,2,83,1792,DBSS
8019,2,84,2036,DBSS
8019,2,85,1391,DBSS
8019,2,86,1393,DBSS
8019,2,87,1450,DBSS
8019,2,88,1610,DBSS
8019,2,89,1754,DBSS
8019,2,90,1680,DBSS
8019,2,91,1997,DBSS
8019,2,92,2218,DBSS
8019,2,93,1642,DBSS
8019,2,94,1474,DBSS
8019,2,95,1515,DBSS
8019,2,96,1401,DBSS
8019,2,97,1051,DBSS
8019,2,98,1453,DBSS
8019,2,99,1558,DBSS
8019,2,100,1313,DBSS
8019,2,101,2183,DBSS
8019,2,102,1359,DBSS
8019,2,103,1612,DBSS
8019,2,104,1168,DBSS
8019,2,105,2072,DBSS
8019,2,106,1380,DBSS
8019,2,107,1623,DBSS
8019,2,108,1624,DBSS
8019,2,109,2033,DBSS
8019,2,110,1861,DBSS
8019,2,111,1813,DBSS
8019,2,112,1292,DBSS
8019,2,113,2178,DBSS
8019,2,114,1659,DBSS
8019,2,115,1335,DBSS
8019,2,116,978,DBSS
8019,2,117,1198,DBSS
8019,2,118,1468,DBSS
8019,2,119,1256,DBSS
8019,2,120,1141,DBSS
8019,2,121,1227,DBSS
8019,2,122,1033,DBSS
8019,2,123,1104,DBSS
8019,2,124,1069,DBSS
8019,2,125,1671,DBSS
8019,2,126,1457,DBSS
8019,2,127,1127,DBSS
8019,2,128,1308,DBSS
8019,2,129,1503,DBSS
8019,2,130,1097,DBSS
8019,2,131,1134,DBSS
8019,2,132,1052,DBSS
8019,2,133,828,DBSS
8019,2,134,1459,DBSS
8019,2,135,2107,DBSS
8019,2,136,886,DBSS
8019,2,137,1458,DBSS
8019,2,138,1947,DBSS
8019,2,139,1634,DBSS
8019,2,140,1868,DBSS
8019,2,141,1164,DBSS
8019,2,142,2010,DBSS
8019,2,143,1361,DBSS
8019,2,144,1507,DBSS
8019,2,145,1213,DBSS
8019,2,146,1177,DBSS
8019,2,147,2103,DBSS
8019,2,148,1584,DBSS
8019,2,149,1787,DBSS
8019,2,150,1514,DPDL
8019,2,151,1463,DPDL
8019,2,152,1237,DPDL
8019,2,153,1316,DPDL
8019,2,154,1060,DPDL
8019,2,155,1836,DPDL
8019,2,156,1268,DPDL
8019,2,157,1202,DPDL
8019,2,158,1583,DPDL
8019,2,159,1950,DPDL
8019,2,160,1963,DPDL
8019,2,161,1171,DPDL
8019,2,162,1381,DPDL
8019,2,163,1796,DPDL
8019,2,164,1428,DPDL
8019,2,165,1684,DPDL
8019,2,166,2082,DPDL
8019,2,167,2094,DPDL
8019,2,168,2253,DPDL
8019,2,169,1512,DPDL
8019,2,170,1532,DPDL
8019,2,171,1648,DPDL
8019,2,172,1569,DPDL
8019,2,173,1511,DPDL
8019,3,1,1670,DPDL
8019,3,2,1869,DPDL
8019,3,3,1673,DPDL
8019,3,4,1603,DPDL
8019,3,5,1188,DPDL
8019,3,6,1375,DPDL
8019,3,7,1681,DPDL
8019,3,8,1161,DPDL
8019,3,9,1218,DPDL
8019,3,10,1884,DPDL
8019,3,11,1749,DPDL
8019,3,12,2122,DPDL
8019,3,13,1773,DPDL
8019,3,14,1767,DPDL
8019,3,15,2945,DPDL
8019,3,16,1228,DPDL
8019,3,17,1659,DPDL
8019,3,18,1703,DPDL
8019,3,19,1523,DPDL
8019,3,20,1188,DPDL
8019,3,21,1065,DPDL
8019,3,22,1424,DPDL
8019,3,23,1891,DPDL
8019,3,24,2041,DPDL
8019,3,25,1350,DPDL
8019,3,26,1007,DPDL
8019,3,27,1750,DPDL
8019,3,28,2593,DPDL
8019,3,29,1284,DPDL
8019,3,30,1570,DPDL
8019,3,31,2399,DPDL
8019,3,32,1702,DPDL
8019,3,33,1468,DPDL
8019,3,34,1494,DPDL
8019,3,35,2242,DPDL
8019,3,36,2378,DPDL
8019,3,37,1019,DPDL
8019,3,38,957,DPDL
8019,3,39,2514,DPDL
8019,3,40,1454,DPDL
8019,3,41,1385,DPDL
8019,3,42,1366,DPDL
8019,3,43,1594,DPDL
8019,3,44,1847,DPDL
8019,3,45,1043,DPDL
8019,3,46,1395,DPDL
8019,3,47,1738,DPDL
8019,3,48,1315,DPDL
8019,3,49,1625,DPDL
8019,3,50,1610,DPDL
8019,3,51,1926,DPDL
8019,3,52,1296,DPDL
8019,3,53,2172,DPDL
8019,3,54,1621,DPDL
8019,3,55,1605,DPDL
8019,3,56,934,DPDL
8019,3,57,1453,DPDL
8019,3,58,1721,DPDL
8019,3,59,1195,DPDL
8019,3,60,1395,DPDL
8019,3,61,1116,DPDL
8019,3,62,1530,DPDL
8019,3,63,1923,DPDL
8019,3,64,1207,DPDL
8019,3,65,1339,DPDL
8019,3,66,2298,DPDL
8019,3,67,1757,DPDL
8019,3,68,1168,DPDL
